nombres,apellidos,partido,comuna,comuna,comuna,cargo
FERNANDO,ORTEGA ORTEGA,PARTIDO SOCIAL CRISTIANO,ALTO HOSPICIO,,,
PATRICIO ELIAS,FERREIRA RIVERA,PARTIDO DEMOCRATA CRISTIANO,ALTO HOSPICIO,,,ALCALDE
RAMON,GALLEGUILLOS CASTILLO,RENOVACION NACIONAL,ALTO HOSPICIO,,,
TANYA JACQUELINE,PRECILLA CRUZ,INDEPENDIENTES,ALTO HOSPICIO,,,
SANDRA,CHALLAPA MAMANI,PARTIDO SOCIAL CRISTIANO,CAMIÑA,,,
MONICA,CHAMACA CASTRO,INDEPENDIENTES,CAMIÑA,,,
EVELYN,MAMANI VIZA,INDEPENDIENTES,CAMIÑA,,,ALCALDE
KIARA ANTONIA,ALIAGA CALDERON,PARTIDO SOCIALISTA DE CHILE,COLCHANE,,,
JUAN SEGUNDO,CHOQUE MAMANI,INDEPENDIENTES,COLCHANE,,,
JAVIER IGNACIO,GARCIA CHOQUE,PARTIDO DEMOCRATAS CHILE,COLCHANE,,,
TEOFILO PEDRO,MAMANI GARCIA,INDEPENDIENTES,COLCHANE,,,ALCALDE
ROSAURO DONATO,GARCIA CHOQUE,INDEPENDIENTES,COLCHANE,,,
SAMUEL ANTONIO,CAYO FLORES,INDEPENDIENTES,HUARA,,,
JOSE,BARTOLO VINAYA,UNION DEMOCRATA INDEPENDIENTE,HUARA,,,ALCALDE
WILLIAMS CARLOS,MAMANI TICUNA,INDEPENDIENTES,HUARA,,,
FELIPE FRANCISCO,ROJAS ANDRADE,INDEPENDIENTES,IQUIQUE,,,
MAURICIO ALEJANDRO,SORIA MACCHIAVELLO,INDEPENDIENTES,IQUIQUE,,,ALCALDE
JORGE,ZAVALA VALENZUELA,PARTIDO DEMOCRATAS CHILE,IQUIQUE,,,
XIMENA,NARANJO PINTO,INDEPENDIENTES,IQUIQUE,,,
JUAN CARLOS,GODOY APALA,INDEPENDIENTES,PICA,,,
IVAN,INFANTE CHACON,INDEPENDIENTES,PICA,,,ALCALDE
CARLOS FRANCISCO,SMITH PASCAL,INDEPENDIENTES,POZO ALMONTE,,,
RICHARD,GODOY AGUIRRE,PARTIDO DEMOCRATA CRISTIANO,POZO ALMONTE,,,ALCALDE
GIOVANA,POVEDA PEMPELFORT,RENOVACION NACIONAL,POZO ALMONTE,,,
JUAN PABLO,CORTES ROJAS,INDEPENDIENTES,POZO ALMONTE,,,
JOSE FERNANDO,MUÑOZ CACERES,INDEPENDIENTES,POZO ALMONTE,,,
ADELA MARIA,PIZARRO GONCALVEZ,PARTIDO HUMANISTA,ANTOFAGASTA,,,
ESLAYNE,PORTILLA BARRAZA,INDEPENDIENTES,ANTOFAGASTA,,,
PABLO ANDRES,IRIARTE RAMIREZ,PARTIDO COMUNISTA DE CHILE,ANTOFAGASTA,,,
DANIELA BEATRIZ,AVILES HONORES,INDEPENDIENTES,ANTOFAGASTA,,,
RICARDO,VARGAS VALENZUELA,PARTIDO DE LA GENTE,ANTOFAGASTA,,,
ROBERTO CARLOS,SOTO ALBALLAY,PARTIDO REPUBLICANO DE CHILE,ANTOFAGASTA,,,
SACHA,RAZMILIC BURGOS,EVOLUCION POLITICA,ANTOFAGASTA,,,ALCALDE
LUIS ANDRES,AGUILERA VILLEGAS,INDEPENDIENTES,ANTOFAGASTA,,,
JONATHAN,VELASQUEZ RAMIREZ,INDEPENDIENTES,ANTOFAGASTA,,,
LESLIE,MOLL VERA,PARTIDO SOCIAL CRISTIANO,CALAMA,,,
ELIECER DANIEL,CHAMORRO VARGAS,FEDERACION REGIONALISTA VERDE SOCIAL,CALAMA,,,ALCALDE
SERGIO JORGE RODRIGO,MARMIE IBARRONDO,PARTIDO DE LA GENTE,CALAMA,,,
CAROLINA PAZ,LATORRE CRUZ,PARTIDO DEMOCRATAS CHILE,CALAMA,,,
DANIEL,AGUSTO PEREZ,INDEPENDIENTES,CALAMA,,,
ALEJANDRA,OLIDEN VEGA,INDEPENDIENTES,CALAMA,,,
OMAR,NORAMBUENA RIVERA,INDEPENDIENTES,MARIA ELENA,,,
VIVIANA,CUELLO RIVERA,INDEPENDIENTES,MARIA ELENA,,,ALCALDE
MARCELINO SEGUNDO,CARVAJAL FERREIRA,PARTIDO POR LA DEMOCRACIA,MEJILLONES,,,ALCALDE
GRECIA,BIAGGINI SANCHEZ,RENOVACION NACIONAL,MEJILLONES,,,
LUIS,CONTRERAS PEREZ,INDEPENDIENTES,MEJILLONES,,,
MARCOS,GAETE FLORES,INDEPENDIENTES,OLLAGUE,,,
PATRICIA,CASTILLO SALVA,INDEPENDIENTES,OLLAGUE,,,
MARISOL,LUGO NINA,INDEPENDIENTES,OLLAGUE,,,
JHEAN CAMILO,RAMIREZ DOMINGUEZ,INDEPENDIENTES,OLLAGUE,,,ALCALDE
HUMBERTO,FLORES GONZALEZ,INDEPENDIENTES,OLLAGUE,,,
JUSTO ALEXIS,ZULETA SANTANDER,INDEPENDIENTES,SAN PEDRO DE ATACAMA,,,ALCALDE
RICARDO MARIO,MALLORCA QUISPE,PARTIDO DE LA GENTE,SAN PEDRO DE ATACAMA,,,
ALIRO,CATUR ZULETA,INDEPENDIENTES,SAN PEDRO DE ATACAMA,,,
DENIS ROBERTH,CONDORI ANZA,INDEPENDIENTES,SAN PEDRO DE ATACAMA,,,
DEBORAH,PAREDES CUEVAS,INDEPENDIENTES,SIERRA GORDA,,,
DIEGO,FERNANDEZ SOTO,INDEPENDIENTES,SIERRA GORDA,,,
JOSE,GUERRERO VENEGAS,INDEPENDIENTES,SIERRA GORDA,,,
ADRIANA NATALI,RIVERA VEGA,INDEPENDIENTES,SIERRA GORDA,,,ALCALDE
GUILLERMO,HIDALGO OCAMPO,INDEPENDIENTES,TALTAL,,,
ROSAMERY ANDREA,ORELLANA FIGUEROA,INDEPENDIENTES,TALTAL,,,
MARIO,ACUÑA VILLALOBOS,INDEPENDIENTES,TALTAL,,,ALCALDE
JOSE EDUARDO,GUTIERREZ UBEDA,INDEPENDIENTES,TALTAL,,,
PABLO GABRIEL,ALBORNOZ CAMPUSANO,FEDERACION REGIONALISTA VERDE SOCIAL,TOCOPILLA,,,
DANIELA,VECCHIOLA RIQUELME,INDEPENDIENTES,TOCOPILLA,,,
LUIS RAFAEL,MOYANO CRUZ,INDEPENDIENTES,TOCOPILLA,,,
LJUBICA ELENA,KURTOVIC CORTES,INDEPENDIENTES,TOCOPILLA,,,ALCALDE
RAUL,ARDILES RAMIREZ,INDEPENDIENTES,ALTO DEL CARMEN,,,
CRISTIAN DIDY,OLIVARES IRIARTE,PARTIDO RADICAL DE CHILE,ALTO DEL CARMEN,,,ALCALDE
IVAN ALBERTO,FLORES VILLALOBOS,PARTIDO DE LA GENTE,ALTO DEL CARMEN,,,
JUAN EMILIO,PALLAUTA ROJAS,INDEPENDIENTES,ALTO DEL CARMEN,,,
CECILIA ANGELICA,ANACONA GARATE,INDEPENDIENTES,ALTO DEL CARMEN,,,
REBECA INES,SALINAS BERNAL,POPULAR,CALDERA,,,
BRUNILDA CLEMENTINA,GONZALEZ ANJEL,PARTIDO POR LA DEMOCRACIA,CALDERA,,,ALCALDE
JAIME DEL CARMEN,HIDALGO CRUZ,MOVIMIENTO AMARILLOS POR CHILE,CALDERA,,,
MANUEL,NANJARI CONTRERAS,INDEPENDIENTES,CALDERA,,,
MARGARITA ALICIA,FLORES SALAZAR,PARTIDO RADICAL DE CHILE,CHAÑARAL,,,
ALEX,AHUMADA MONROY,RENOVACION NACIONAL,CHAÑARAL,,,ALCALDE
RUDY PATRICIO,SALAS LUNA,INDEPENDIENTES,CHAÑARAL,,,
NELSON EDUARDO,OLAVE FARIAS,INDEPENDIENTES,CHAÑARAL,,,
MAURICIO ALEJANDRO,RIVERA BLANCO,INDEPENDIENTES,CHAÑARAL,,,
ISAIAS FLORENCIO,ZAVALA TORRES,INDEPENDIENTES,CHAÑARAL,,,
CARMEN DE LAS MERCEDES,GONZALEZ PIZARRO,INDEPENDIENTES,CHAÑARAL,,,
JOANA ANDREA,BARRIOS PAEZ,POPULAR,COPIAPO,,,
SANDOR,GUZMAN FUENTES,PARTIDO SOCIAL CRISTIANO,COPIAPO,,,
MARCOS,LOPEZ RIVERA,PARTIDO SOCIALISTA DE CHILE,COPIAPO,,,
LUIS MARCELINO,NUÑEZ BARRIENTOS,INDEPENDIENTES,COPIAPO,,,
MAXIMILIANO,BARRIONUEVO GARCIA,RENOVACION NACIONAL,COPIAPO,,,
MAGLIO HONORIO,CICARDINI NEYRA,INDEPENDIENTES,COPIAPO,,,ALCALDE
ESTEBAN MAURICIO,GARCIA QUEVEDO,INDEPENDIENTES,COPIAPO,,,
MARIA MIGUELINA,TORREJON ROJAS,PARTIDO COMUNISTA DE CHILE,DIEGO DE ALMAGRO,,,
MARIO,ARAYA ROJAS,RENOVACION NACIONAL,DIEGO DE ALMAGRO,,,ALCALDE
YANET DEL CARMEN,RUBINA CONTRERAS,INDEPENDIENTES,DIEGO DE ALMAGRO,,,
JACQUELINE DE LOS ANGELES,CACERES SALAS,INDEPENDIENTES,DIEGO DE ALMAGRO,,,
