rut,nombres,apellidos,cargo,comuna,partido
,Patricio Elias,Ferreira Rivera,Alcalde,Alto Hospicio,Partido Democrata Cristiano
,Evelyn,Mamani Viza,Alcalde,Camiña,Independientes
,Teofilo Pedro,Mamani Garcia,Alcalde,Colchane,Independientes
,Jose,Bartolo Vinaya,Alcalde,Huara,Union Democrata Independiente
,Mauricio Alejandro,Soria Macchiavello,Alcalde,Iquique,Independientes
,Ivan,Infante Chacon,Alcalde,Pica,Independientes
,Richard,Godoy Aguirre,Alcalde,Pozo Almonte,Partido Democrata Cristiano
,Sacha,Razmilic Burgos,Alcalde,Antofagasta,Evolucion Politica
,Eliecer Daniel,Chamorro Vargas,Alcalde,Calama,Federacion Regionalista Verde Social
,Viviana,Cuello Rivera,Alcalde,Maria Elena,Independientes
,Marcelino Segundo,Carvajal Ferreira,Alcalde,Mejillones,Partido Por La Democracia
,Jhean Camilo,Ramirez Dominguez,Alcalde,Ollague,Independientes
,Justo Alexis,Zuleta Santander,Alcalde,San Pedro De Atacama,Independientes
,Adriana Natali,Rivera Vega,Alcalde,Sierra Gorda,Independientes
,Mario,Acuña Villalobos,Alcalde,Taltal,Independientes
,Ljubica Elena,Kurtovic Cortes,Alcalde,Tocopilla,Independientes
,Cristian Didy,Olivares Iriarte,Alcalde,Alto Del Carmen,Partido Radical De Chile
,Brunilda Clementina,Gonzalez Anjel,Alcalde,Caldera,Partido Por La Democracia
,Alex,Ahumada Monroy,Alcalde,Chañaral,Renovacion Nacional
,Maglio Honorio,Cicardini Neyra,Alcalde,Copiapo,Independientes
,Mario,Araya Rojas,Alcalde,Diego De Almagro,Renovacion Nacional
,Fernando Alberto,Ruhl Perez,Alcalde,Freirina,Independientes
,Genaro,Briceño Tapia,Alcalde,Huasco,Independientes
,Cristobal,Zuñiga Arancibia,Alcalde,Tierra Amarilla,Independientes
,Victor Manuel,Isla Lutz,Alcalde,Vallenar,Independientes
,Juan Carlos,Alfaro Aravena,Alcalde,Andacollo,Partido Socialista De Chile
,Waldo Enrique,Contreras Cortes,Alcalde,Canela,Independientes
,Marta Angelica,Carvajal Cortes,Alcalde,Combarbala,Independientes
,Ali,Manouchehri Moghadam Kashan Lobos,Alcalde,Coquimbo,Independientes
,Denis,Cortes Aguilera,Alcalde,Illapel,Partido Democrata Cristiano
,Uberlinda,Aquea Barraza,Alcalde,La Higuera,Partido Socialista De Chile
,Daniela,Norambuena Borgheresi,Alcalde,La Serena,Renovacion Nacional
,Christian Frank,Gross Hidalgo,Alcalde,Los Vilos,Partido Socialista De Chile
